Project,Sprint/Taskgroup,task#,Parent,Title,Description,Start Date,Due Date,Status,Type,Assigned To,Priority,Created By,Estimated Hour,Label,Start Time,End Time,Break Time,Is Billable
PartiuShop TI ,,71,66,Adaptação do processo de pedidos da PartiuShop,,01-31-2022,02-04-2022,,,,,,,,,,,
PartiuShop TI ,,72,66,Adaptação do gerenciamento de produtos e estoque,,02-07-2022,02-11-2022,,,,,,,,,,,
PartiuShop TI ,,73,0,NFE (Painel),,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,74,73,Liberação de Etiqueta após envio de XML,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,75,0,Afliados (Sistema) & Gamefication,,08-24-2021,09-13-2021,,,,,,,,,,,
PartiuShop TI ,,76,75,Integração com programa de afiliados,,08-24-2021,09-13-2021,,,,,,,,,,,
PartiuShop TI ,,77,75,Sistema de pontos,,08-24-2021,09-13-2021,,,,,,,,,,,
PartiuShop TI ,,78,0,Warehouses (Addon),,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,79,78,Instalação complemento,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,80,0,Mudança Modelo de planos e comissão,,08-24-2021,09-03-2021,,,,,,,,,,,
PartiuShop TI ,,81,80,Pré requisitos,,08-24-2021,09-03-2021,,,,,,,,,,,
PartiuShop TI ,,82,80,Analise de requisitos,,08-24-2021,08-25-2021,,,,,,,,,,,
PartiuShop TI ,,83,80,Edison - Telas ,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,84,80,Reunião definição,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,85,0,Mudança de conceito Plano x Comissão,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,86,85,Modificar modo de cobrança de planos,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,87,85,Webkul atualizar addon - LEIA NOTA,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,88,0,Mudança para regra de cobrança por categoria,,08-24-2021,09-28-2021,,,,,,,,,,,
